state,newspaper,twitter_user
Alabama,The Tuscaloosa News,tuscaloosanews 
Alabama,The Dothan Eagle,dothaneagle 
Arizona,The Arizona Republic,arizonarepublic 
Arizona,Arizona Daily Star,TucsonStar 
Arkansas,Northwest Arkansas Democrat-Gazette,nwademgaz 
Arkansas,Southwest Times Record,TimesRecord 
California,Los Angeles Times,latimes 
California,San Francisco Chronicle,sfchronicle 
Colorado,Denver Post,denverpost 
Colorado,The Gazette,csgazette 
Connecticut,Hartford Courant,hartfordcourant 
Connecticut,New Haven Register,nhregister 
Delaware,Wilmington News Journal,NewsWilmington 
Delaware,Dover Post,Doverpost 
Florida,Orlando Sentinel,orlandosentinel 
Florida,The Miami Herald,MiamiHerald 
Georgia,Atlanta Journal Constitution,ajc 
Georgia,Gwinnett Daily Post,GwinnettDaily 
Idaho,Idaho Statesman,IdahoStatesman 
Idaho,Twin Falls Times News,twinfallstn 
Illinois,Chicago Tribune,chicagotribune 
Illinois,Chicago Sun Times,Suntimes 
Indiana,The Indianapolis Star,indystar 
Indiana,The Times,nwi 
Iaowa,Des Moines Register,DMRegister 
Iaowa,Cedar Rapids Gazette,gazettedotcom 
Kansas,The Wichita Eagle,kansasdotcom 
Kansas,The Topeka Capital Journal,CJOnline 
Kentucky,The Courier Journal,courierjournal 
Kentucky,Lexington Herald-Leader,heraldleader 
Louisiana,Baton Rouge Advocate,theadvocatebr 
Louisiana,Shreveport Times,shreveporttimes 
Maine,Lewiston Sun Journal,sunjournal 
Maine,The Portland Phoenix,PortlandPhoenix 
Maryland,Baltimore Sun,baltimoresun 
Maryland,The Baltimore Times,Baltimore_Times 
Massachusetts,The Boston Globe,BostonGlobe 
Massachusetts,Boston Herald,bostonherald 
Michigan,Detroit Free Press,freep 
Michigan,Detroit News,detroitnews 
Minnesota,Star Tribune,StarTribune 
Minnesota,St. Paul Pioneer Press,PioneerPress 
Mississippi,The Clarion Ledger,clarionledger 
Mississippi,Northeast Mississippi Daily Journal,DJournalnow 
Missouri,The Kansas City Star,KCStar 
Missouri,St. Louis Post-Dispatch,stltoday 
Montana,Billings Gazette,billingsgazette 
Montana,Great Falls Tribune,GFTribune 
Nebraska,Omaha World Herald,OWHnews 
Nebraska,Lincoln Journal Star,JournalStarNews 
Nevada,Las Vegas Review Journal,reviewjournal 
Nevada,Las Vegas Sun,LasVegasSun 
New Hampshire,New Hampshire Union Leader,UnionLeader 
New Hampshire,The Laconia Daily Sun,laconiadailysun 
New Jersey,The Star Ledger,starledger 
New Jersey,The Record,TheRecordNJ 
New Mexico,Abuquerque Journal,ABQJournal 
New Mexico,Santa Fe New Mexican,thenewmexican 
New York,The Wall Street Journal,WSJ 
New York,The New York Times,nytimes 
North Carolina,The Charlotte Observer,theobserver 
North Carolina,The News & Observer,newsobserver 
North Dakota,The Forum,theforum 
North Dakota,Bismarck Tribune,bistrib 
Ohio,The Plain Dealer,ThePlainDealer 
Ohio,The Cincinnati Enquirer,Enquirer 
Oklahoma,The Oklahoman,TheOklahoman 
Oklahoma,Tulsa World,tulsaworld 
Oregon,The Oregonian,Oregonian 
Oregon,The Register Guard,registerguard 
Pennsylvania,Philadelphia Daily News,PhillyDailyNews 
Pennsylvania,The Philadelphia Inquirer,PhillyInquirer 
Rhode Island,The Providence Journal,projo 
Rhode Island,The Valley Breeze,TheValleyBreeze 
South Carolina,Greenville News,GreenvilleNews 
South Carolina,The Post and Courier,postandcourier 
South Dakota,Argus Leader,argusleader 
South Dakota,Rapid City Journal,RCJournal 
Tennessee,The Tennessean,Tennessean 
Tennessee,News Sentinel,newssentinel 
Texas,The Dallas Morning News,dallasnews 
Texas,Houston Chronicle,HoustonChron 
Utah,Desert News,DeseretNews 
Utah,Salt Lake Tribune,sltrib 
Vermont,Seven Days,sevendaysvt 
Vermont,Burlington Free Press,bfp_news 
Virginia,USA Today,USATODAY 
Virginia,The Virgina Pilot,pilotnews 
Washington,The Seattle Times,seattletimes 
Washington,The News Tribune,thenewstribune 
West Virginia,Greenbrier Valley Ranger,GbrValleyWV 
West Virginia,The Herald Dispatch,heralddispatch 
Wisconsin,Milwaukee Journal Sentinel,journalsentinel 
Wisconsin,Wisconsin State Journal,WiStateJournal 
Wyoming,Casper Star Tribune,CSTribune 
Wyoming,Wyoming Tribune Eagle,WTEnews 