NAME,11/22/16,11/23/16,11/24/16,11/25/16,11/26/16,11/27/16,TOTAL_TRUMP
Alabama,1,0,0,0,0,0,1
Arizona,1,0,0,1,3,0,5
Arkansas,1,3,0,1,0,0,5
California,23,24,9,6,12,9,83
Colorado,7,3,3,8,3,6,30
Connecticut,16,9,6,7,3,1,42
Delaware,1,0,0,0,0,0,1
Florida,20,12,11,7,5,8,63
Georgia,6,4,3,4,1,5,23
Hawaii,5,4,2,3,4,3,21
Idaho,7,1,1,0,3,1,13
Illinois,6,5,0,3,1,4,19
Indiana,15,14,8,11,6,13,67
Iaowa,5,1,2,10,3,2,23
Kansas,4,2,0,0,0,1,7
Kentucky,4,2,3,1,0,0,10
Louisiana,4,2,0,0,0,0,6
Maine,5,3,1,2,2,0,13
Maryland,6,3,0,0,1,2,12
Massachusetts,54,47,17,16,13,31,178
Michigan,4,7,6,10,2,4,33
Minnesota,5,4,3,3,4,9,28
Mississippi,1,2,1,1,0,0,5
Missouri,15,8,3,4,3,7,40
Montana,1,0,1,1,0,2,5
Nebraska,1,0,2,0,1,1,5
Nevada,6,4,4,2,0,0,16
New Hampshire,1,0,0,0,0,1,2
New Jersey,1,0,0,0,1,3,5
New Mexico,0,6,0,1,0,2,9
New York,103,81,44,43,35,27,333
North Carolina,3,6,2,3,1,3,18
North Dakota,0,0,0,0,0,0,0
Ohio,1,0,1,1,0,0,3
Oklahoma,4,1,0,1,0,0,6
Oregon,3,4,2,5,1,5,20
Pennsylvania,7,4,0,3,0,0,14
Rhode Island,7,3,3,0,3,6,22
South Carolina,0,3,0,1,1,1,6
South Dakota,0,0,0,0,0,0,0
Tennessee,4,4,1,1,1,0,11
Texas,15,8,2,3,3,4,35
Utah,4,4,0,3,1,3,15
Vermont,1,0,1,0,0,0,2
Virginia,25,24,13,8,7,11,88
Washington,6,5,1,7,2,7,28
West Virginia,0,0,0,0,0,0,0
Wisconsin,2,5,4,6,4,10,31
Wyoming,1,0,1,0,2,0,4